RA ,DEC ,D ,AbsBMag
205.0754 ,-28.8944 ,    4.41 ,   -13.9
116.5687 ,-28.4697 ,    3.00 ,   -14.3
193.7233 ,-28.3408 ,    5.78 ,   -12.1
204.3342 ,-28.0461 ,    4.61 ,   -13.6
 67.4200 ,-27.4086 ,    9.10 ,   -15.5
151.0167 ,-27.3319 ,    1.32 ,    -9.8
197.4025 ,-27.1406 ,    7.80 ,   -14.7
150.9592 ,-26.6128 ,   15.30 ,   -15.5
 96.5708 ,-26.2656 ,    4.99 ,   -13.1
 99.4858 ,-25.9997 ,    4.23 ,   -14.5
144.8958 ,-25.1264 ,    6.15 ,   -13.7
125.2529 ,-23.7814 ,   17.30 ,   -15.7
139.2417 ,-23.2797 ,   10.30 ,   -14.7
137.4442 ,-23.0092 ,    9.80 ,   -15.1
  7.8438 ,-22.7658 ,    9.90 ,   -13.7
 10.7658 ,-22.2503 ,    4.92 ,   -13.6
120.3558 ,-21.9975 ,    6.34 ,   -12.8
 12.4554 ,-21.0161 ,    3.34 ,   -12.4
140.7912 ,-20.1675 ,    7.52 ,   -14.1
 12.6025 ,-19.9069 ,    3.42 ,   -11.3
194.9846 ,-19.4131 ,    6.90 ,   -12.9
 12.3379 ,-18.0744 ,    3.40 ,   -11.4
292.4958 ,-17.6781 ,    1.04 ,   -11.5
195.5600 ,-17.2375 ,    7.30 ,   -14.6
296.2404 ,-14.8031 ,    0.50 ,   -15.2
311.7158 ,-12.8481 ,    0.94 ,   -11.1
156.1179 ,-12.4325 ,    5.11 ,   -12.1
188.9142 ,-11.0672 ,   10.00 ,   -14.5
189.3088 ,-10.4975 ,    7.70 ,   -13.0
189.3996 , -8.8672 ,    9.10 ,   -13.6
 95.2283 , -8.6503 ,    8.50 ,   -16.3
150.4100 , -8.2489 ,    9.70 ,   -14.8
177.7208 , 38.8806 ,    2.64 ,   -13.5
  0.0938 , 39.4956 ,    8.47 ,   -13.3
205.6358 , 39.6583 ,    8.90 ,   -14.1
115.3575 , 40.1125 ,    6.85 ,   -15.0
 10.6254 , 40.5758 ,    6.31 ,   -12.1
204.9742 , 40.7392 ,    3.01 ,   -13.2
112.0717 , 40.7703 ,    5.73 ,   -13.9
  1.9333 , 40.8756 ,    9.60 ,   -14.8
190.9821 , 41.4569 ,    6.09 ,   -11.8
198.8800 , 41.5014 ,    8.90 ,   -11.1
198.2446 , 41.7867 ,    8.06 ,   -13.2
127.1188 , 41.8567 ,   10.28 ,   -15.0
198.4154 , 42.0442 ,    6.00 ,   -10.8
187.7875 , 42.0942 ,    5.80 ,   -11.1
